datetime,AirTemp,pres,rain,rh,wd,ws,Global_Solar_Flux,Diffuse_Solar_Flux,Direct_Solar_Flux,Downwelling_IR_Flux,SAA,SZA,PAC,TGBT [kW],kw_heater_corridor1_zone1,kw_heaters_corridor_zone2,kw_heaters_toilets_zone2,kw_heatingcoolingtotal_zone1,kw_heatingcoolingtotal_zone2,kw_lights_zone1,kw_lights_zone2,kw_total_zone1,kw_total_zone2,kw_ventilation_zone1,kw_ventilation_zone2,kw_water_heater_zone2,plugs_zone2
2022-01-01 00:00:00+00:00,10.279,1005.058,0.0,95.87,187.576,1.758,-0.271,-0.37,-0.11,342.922,-173.104,90.0,0.0,12.452,-1.621,-1.609,-0.199,-1.798,-2.037,-0.002,-0.222,2.091,2.308,-0.027,-0.03,-0.004,-0.156
2022-01-01 01:00:00+00:00,10.318,1004.79,0.0,95.335,218.28,2.401,-0.371,-0.499,-0.231,328.399,-144.155,90.0,0.0,13.328,-1.616,-1.604,-0.304,-1.794,-2.17,-0.002,-0.278,2.086,2.504,-0.027,-0.044,-0.004,-0.157
2022-01-01 02:00:00+00:00,9.901,1004.791,0.013,95.699,185.351,1.821,-0.846,-0.999,-0.235,288.659,-122.428,90.0,0.0,12.898,-1.613,-1.601,-0.376,-1.795,-2.202,-0.002,-0.238,2.085,2.501,-0.026,-0.043,-0.004,-0.157
2022-01-01 03:00:00+00:00,9.444,1004.554,0.0,95.881,193.537,1.76,-0.632,-0.755,-0.173,309.317,-106.452,90.0,0.0,12.907,-1.623,-1.611,-0.411,-1.811,-2.238,-0.002,-0.24,2.1,2.539,-0.026,-0.044,-0.004,-0.157
2022-01-01 04:00:00+00:00,8.587,1004.524,0.0,96.738,174.806,1.613,-0.395,-0.489,-0.11,323.557,-93.73,90.0,0.0,13.311,-1.623,-1.61,-0.429,-1.814,-2.287,-0.002,-0.28,2.102,2.952,-0.027,-0.044,-0.356,-0.156
2022-01-01 05:00:00+00:00,8.034,1004.43,0.0,97.422,167.491,1.576,-0.475,-0.551,-0.117,310.629,-82.615,90.0,0.0,12.904,-1.617,-1.606,-0.429,-1.827,-2.256,-0.002,-0.249,2.113,2.564,-0.027,-0.044,-0.004,-0.156
2022-01-01 06:00:00+00:00,7.784,1004.078,0.0,97.702,193.915,1.909,-0.732,-0.823,-0.183,283.961,-72.103,90.0,0.0,13.394,-1.625,-1.613,-0.429,-1.845,-2.299,-0.002,-0.222,2.132,2.578,-0.027,-0.044,-0.004,-0.157
2022-01-01 07:00:00+00:00,7.888,1004.025,0.0,97.315,153.475,1.862,-0.704,-0.767,-0.151,284.691,-61.53,90.0,0.0,13.624,-1.618,-1.606,-0.428,-1.853,-2.275,-0.002,-0.222,2.139,2.557,-0.027,-0.044,-0.004,-0.156
2022-01-01 08:00:00+00:00,7.531,1004.092,0.0,97.101,169.0,1.997,32.763,23.984,47.165,281.996,-50.414,87.752,203.667,13.382,-1.612,-1.6,-0.443,-1.881,-2.298,-0.002,-0.245,2.166,2.599,-0.027,-0.044,-0.004,-0.156
2022-01-01 09:00:00+00:00,7.968,1004.034,0.0,94.621,175.539,2.28,90.598,58.913,87.985,278.929,-38.412,80.828,1138.0,13.194,-1.61,-1.599,-0.444,-1.902,-2.298,-0.002,-0.232,2.188,2.588,-0.027,-0.044,-0.004,-0.156
2022-01-01 10:00:00+00:00,9.502,1003.658,0.0,86.584,164.683,2.487,225.399,61.658,649.858,276.299,-25.363,75.598,4804.333,13.41,-1.604,-1.592,-0.44,-1.94,-2.293,-0.002,-0.239,2.225,2.588,-0.027,-0.043,-0.004,-0.156
2022-01-01 11:00:00+00:00,10.933,1003.57,0.0,79.723,166.577,2.109,282.286,100.783,593.404,279.958,-11.38,72.473,6629.0,13.208,-1.6,-1.588,-0.445,-1.957,-2.249,-0.002,-0.296,2.243,2.606,-0.026,-0.043,-0.004,-0.156
2022-01-01 12:00:00+00:00,12.399,1002.691,0.0,72.151,175.309,2.586,325.197,86.113,759.032,281.809,3.103,71.755,8515.0,13.522,-1.593,-1.58,-0.473,-1.982,-2.282,-0.002,-0.238,2.269,2.917,-0.026,-0.043,-0.363,-0.157
2022-01-01 13:00:00+00:00,13.355,1002.551,0.0,66.119,223.277,2.893,178.243,98.997,274.745,287.525,17.446,73.518,5240.0,13.352,-1.6,-1.589,-0.461,-2.004,-2.273,-0.003,-0.238,2.292,2.572,-0.027,-0.043,-0.004,-0.155
2022-01-01 14:00:00+00:00,13.386,1001.755,0.0,65.928,196.903,2.869,161.048,73.627,400.527,286.467,31.069,77.582,2810.667,13.77,-1.599,-1.588,-0.446,-2.005,-2.303,-0.002,-0.249,2.295,2.606,-0.026,-0.043,-0.004,-0.156
2022-01-01 15:00:00+00:00,12.727,1001.609,0.0,69.231,191.593,2.408,36.683,36.48,0.613,294.578,43.672,83.583,475.0,13.932,-1.601,-1.589,-0.436,-2.007,-2.285,-0.002,-0.222,2.295,2.564,-0.026,-0.043,-0.004,-0.157
2022-01-01 16:00:00+00:00,12.109,1001.837,0.0,72.345,217.775,2.227,2.673,2.549,-0.225,299.694,55.27,90.0,0.0,13.345,-1.593,-1.581,-0.433,-1.999,-2.282,-0.002,-0.222,2.286,2.562,-0.026,-0.043,-0.004,-0.156
2022-01-01 17:00:00+00:00,11.632,1001.831,0.0,74.699,217.963,3.472,-0.94,-1.08,-0.326,296.2,66.11,90.0,0.0,14.083,-1.622,-1.609,-0.434,-2.032,-2.304,-0.002,-0.222,2.321,2.965,-0.027,-0.044,-0.416,-0.157
2022-01-01 18:00:00+00:00,11.516,1001.561,0.0,73.801,212.186,3.436,-0.634,-0.732,-0.195,323.535,76.598,90.0,0.0,13.536,-1.612,-1.601,-0.435,-2.018,-2.295,-0.002,-0.238,2.306,2.59,-0.026,-0.044,-0.004,-0.157
2022-01-01 19:00:00+00:00,11.157,1001.503,0.0,74.664,234.204,2.167,-0.743,-0.874,-0.335,308.227,87.281,90.0,0.0,13.596,-1.618,-1.606,-0.431,-2.033,-2.257,-0.002,-0.265,2.32,2.585,-0.027,-0.044,-0.004,-0.156
2022-01-01 20:00:00+00:00,11.105,1001.313,0.0,73.967,232.759,3.03,-0.763,-0.875,-0.285,312.003,98.942,90.0,0.0,13.835,-1.628,-1.614,-0.441,-2.086,-2.273,-0.002,-0.222,2.374,2.889,-0.027,-0.044,-0.361,-0.157
2022-01-01 21:00:00+00:00,11.021,1000.996,0.0,73.376,225.43,2.221,-0.939,-1.079,-0.383,292.824,112.812,90.0,0.0,15.32,-1.639,-1.627,-0.451,-2.118,-2.303,-0.003,-0.277,2.426,2.64,-0.027,-0.044,-0.004,-0.158
2022-01-01 22:00:00+00:00,10.657,1000.445,0.0,74.733,215.993,2.563,-0.77,-0.893,-0.32,300.599,130.912,90.0,0.0,13.818,-1.632,-1.62,-0.455,-2.104,-2.339,-0.002,-0.222,2.409,2.617,-0.027,-0.044,-0.004,-0.157
2022-01-01 23:00:00+00:00,10.417,1000.173,0.0,76.11,214.907,2.977,-0.498,-0.621,-0.141,328.761,155.776,90.0,0.0,14.004,-1.637,-1.625,-0.463,-2.124,-2.346,-0.003,-0.223,2.412,2.626,-0.027,-0.044,-0.004,-0.157
2022-01-02 00:00:00+00:00,10.132,999.266,0.0,77.375,195.742,2.485,-0.25,-0.375,-0.11,340.621,-173.369,90.0,0.0,13.448,-1.619,-1.607,-0.46,-2.116,-2.322,-0.002,-0.223,2.403,2.603,-0.027,-0.044,-0.004,-0.157
2022-01-02 01:00:00+00:00,9.669,998.907,0.0,79.515,218.327,2.623,-0.187,-0.3,-0.109,344.33,-144.427,90.0,0.0,13.76,-1.62,-1.608,-0.473,-2.144,-2.338,-0.002,-0.239,2.43,2.634,-0.026,-0.044,-0.004,-0.157
2022-01-02 02:00:00+00:00,9.961,998.327,0.0,78.283,215.673,2.623,-0.269,-0.381,-0.11,341.679,-122.659,90.0,0.0,13.742,-1.629,-1.617,-0.493,-2.166,-2.324,-0.002,-0.223,2.453,2.608,-0.027,-0.044,-0.004,-0.156
2022-01-02 03:00:00+00:00,10.121,997.52,0.0,76.151,205.022,2.015,-0.257,-0.341,-0.11,343.227,-106.644,90.0,0.0,13.898,-1.629,-1.618,-0.485,-2.165,-2.312,-0.002,-0.234,2.452,2.61,-0.027,-0.044,-0.004,-0.159
2022-01-02 04:00:00+00:00,10.561,997.138,0.0,72.221,219.515,2.906,-0.282,-0.419,-0.11,344.108,-93.897,90.0,0.0,13.829,-1.625,-1.613,-0.479,-2.156,-2.31,-0.002,-0.223,2.443,2.672,-0.027,-0.044,-0.085,-0.16
2022-01-02 05:00:00+00:00,10.627,996.423,0.0,70.958,223.37,3.735,-0.261,-0.353,-0.108,346.763,-82.766,90.0,0.0,13.777,-1.618,-1.607,-0.479,-2.157,-2.303,-0.002,-0.233,2.443,2.592,-0.027,-0.044,-0.004,-0.152
2022-01-02 06:00:00+00:00,10.737,996.303,0.0,70.154,239.189,4.177,-0.379,-0.471,-0.113,340.566,-72.246,90.0,0.0,13.503,-1.612,-1.601,-0.485,-2.162,-2.303,-0.002,-0.222,2.448,2.581,-0.026,-0.043,-0.004,-0.149
2022-01-02 07:00:00+00:00,10.773,996.464,0.0,72.352,245.271,4.588,-0.937,-1.055,-0.347,293.605,-61.67,90.0,0.0,16.077,-1.603,-1.592,-0.487,-2.169,-2.34,-0.002,-0.24,2.453,2.627,-0.026,-0.043,-0.004,-0.149
2022-01-02 08:00:00+00:00,10.203,997.502,0.0,77.717,256.345,4.577,18.029,17.913,0.239,292.563,-50.553,87.74,75.0,13.851,-1.601,-1.59,-0.505,-2.174,-2.334,-0.003,-0.222,2.457,2.609,-0.026,-0.043,-0.004,-0.149
2022-01-02 09:00:00+00:00,10.392,998.056,0.0,79.636,247.833,4.327,69.614,50.953,110.665,291.319,-38.55,80.798,1014.333,13.801,-1.597,-1.584,-0.518,-2.178,-2.323,-0.002,-0.244,2.462,2.951,-0.026,-0.043,-0.36,-0.149
2022-01-02 10:00:00+00:00,11.207,998.343,0.0,79.807,248.765,4.441,223.715,79.791,567.079,290.001,-25.497,75.547,4321.0,13.467,-1.601,-1.59,-0.517,-2.185,-2.318,-0.002,-0.226,2.469,2.601,-0.026,-0.043,-0.004,-0.149
